Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Somewhat in Favour,Income to the city.,Job creation.,,F,25-34,Male,M4K
Strongly Opposed,Toronto needs more culture and education,Unhealthy way of entertainment,Will create addiction to some people,T,25-34,Male,M2N
Strongly in Favour,jobs,money for city,tourists,F,45-54,Male,m6b
Strongly Opposed,This is a form of taxation that falls mainly on local people,Casinos have deleterious effects on surrounding neighborhoods,"Projected income will be smaller than projected, and this is no way to raise revenue anyway",T,Prefer not to disclose,Male,M6H
Strongly Opposed,crime,exploiting people,mafia,T,,,
Strongly Opposed,City does not have infrastructure to support additional traffic,"Social problems associated with having a casino (crime, gambling, alcohol, etc)",Local businesses will suffer and some will close down leading to the unique culture Toronto being diluted,T,25-34,Male,M5T
Strongly Opposed,Degradation of surrounding neighbourhoods,Exploitation of people susceptible to gambling addiction,,T,55-64,Male,M6G
Strongly Opposed,"detrimental to cultural life, economic progress, social fabric and quality of urban life; danger of organized crime influence","parking and traffic gridlock, urban blight, robs urban space and pleasure","social and health ills: gambling addiction, mental health, bankruptcy, disintegration of family life",T,Prefer not to disclose,Female,M5R
Somewhat Opposed,"With the exception of Vegas (with 50+ casinos), the idea that casinos attract tourists is pure fantasy.   NY, NJ, MI, PA, OH and QC all have casinos.",Casinos suck money out of OUR economy and the bulk of the profits will likely go to a US-based casino operator,,F,55-64,Male,M5A
Strongly Opposed,"I think gaming facilities take advantage, purposefully or not, both directly and indirectly, of those in society who are vulnerable.","Large profits are being touted as a solution to solving Toronto's financial constraints, and as a means to an end (TTC infrastructure for example), but at least some if not a large portion will go to counteracting the effects of the gaming facilities.","I cannot trust a private enterprise (even if sanctioned by the OLG) to hold the values and goals of the citizens of City of Toronto in its mandate to make a profit from gaming. Olympic stadiums provide a parallel example: those ""lucky"" cities have been saddled with massive tax burdens while the people/organisations who promoted them laugh all the way to the bank.",T,45-54,Prefer not to disclose,M6H
Strongly in Favour,Tourism,Boost to City's business community,Income to City income,F,65 or older,Male,M4H
Somewhat in Favour,feel a casino might bring more tourist to Toronto,a casino would be more convenient for Toronto area residents to go to as opposed to going to Rama or Niagara,,F,65 or older,Female,M4R
Strongly in Favour,Hosting fees and taxing revenue will be able to assist with increased cost of infrastructure development.,Increased tourism to Toronto as there will be more attractions for visitors.,,F,25-34,Male,L5M
Strongly in Favour,"This is an issue of personal liberty, i.e. liberty to gamble (even if it is stupid)",This can raise revenue for the province,"If the people like it, it can create more jobs",F,25-34,Male,m4y
Somewhat Opposed,I do not want to see one anywhere downtown because of the extra traffic that will follow.,"I think that gambling is a problem for many people, and this will just encourage it.","Downtown Toronto is no place for a casino because there is no room,",F,,,
Strongly in Favour,Increased revenue,Minimal downside,Increased employment,F,25-34,Male,M3B
Neutral or Mixed Feelings,crime,gambling addictions,enhancement of Toronto tourism & bringing 'lively' atmosphere to city,F,25-34,Male,
Strongly in Favour,Job creation,increased tourism,,F,25-34,Male,M1A
Somewhat Opposed,Crime and or organized crime,Friends and Family values and breakups,More tax increase to meet law enforcemends demands etc.,T,Prefer not to disclose,Prefer not to disclose,L4L
Strongly Opposed,downgrades the morality of the entire  city,brings gangsta guns rowdyness undesirebles,forget it this will be the last strw for Toronto if you do this look at Niagara Falls,T,Prefer not to disclose,Female,M4l
Strongly Opposed,The damage it will take upon existing entertainment and restaurant facilities - luring away customers and funds.,The potential for problem gamblers and the neglect to set aside funds and space and efforts to deal with the rise in problem gambling that will result.,The cheapening of property values near the casino and the tarnishing of our world-class image.,T,25-34,Male,m6p
Strongly Opposed,gambling is an addiction and greedy politicians are feeding the illness by stealing addicts money,too close to residential communities on the mainland AND Toronto Island,Toronto shoreline continues to be lost to the outdoor people with hard concrete structures destroying what should be natural,T,65 or older,Female,M5J
Strongly Opposed,Gambling is socially regressive,Gambling produces negative public externalities,,F,65 or older,Male,M5S
Somewhat Opposed,,,,T,55-64,Male,M5c
Strongly in Favour,Job Creation,Business Opportunities,,F,25-34,Female,M5C
Strongly in Favour,will generate new jobs in the city &sustain existing jobs @ woodbine.,A new casino will be good for strong economy.,Will provide enough revenue to our city.,F,45-54,Male,M3A
Strongly Opposed,,,,F,45-54,Male,M5R
Strongly in Favour,More jobs for the city,Will attract more tourists,,F,35-44,Male,M1K
Strongly in Favour,Hospitality industry will enjoy a boost after the beating they took starting with cig ban then recession,Will attract more tourists and conventions. Consumption tax increases could relieve the weary property tax burden,"Could open the door to a municipal 'traveller' sales tax, dedicated to subway expansion.",F,55-64,Female,M4P
Strongly Opposed,Crime,Addiction,Crime,F,,,
Strongly Opposed,Casinos are a desperate attempt to raise money from basically a vice,Casinos will make a corporation and owners rich via city support,We should rise above this and use land for higher value use like a park,F,55-64,Male,M6J
Strongly Opposed,Attract wrong element,Cause greater social strife,Already one in close proximity,T,,,
Strongly in Favour,Tourism,Tax Revenue,,F,,,
Strongly Opposed,Do not want the negative connotations associated with a casino.,Do not like it's effect on community.,,T,35-44,Female,M5B
Strongly in Favour,it would help the economy,it would create jobs,,F,35-44,Female,M4M
Somewhat in Favour,"The city needs the money, while online gambling does not benefit the local economy","The city would benefit from the razzle-dazzle a casino can bring. It just has to be done in a classy way, not like a cheap walk-up casino.",,F,35-44,Male,L4J
Strongly in Favour,Jobs,Increased Taxes for the City = better services,Increased Tourism = increased revenue for local business,F,,,
Strongly in Favour,A casino will generate economic activity.,A casino will provide another encouragement for tourism.,A casino in Toronto will mean Torontonians will spend their money here rather than in Niagara or other regional casinos.,F,55-64,Male,M5C
Neutral or Mixed Feelings,Good revenue potential for the city,Concerns about the possible location,The effects of gambling on some people,F,45-54,Female,M2K
Strongly in Favour,Tourism,Revenue,Jobs,F,35-44,Male,M1C
Strongly in Favour,Increase in jobs,Increase in revenue for Toronto,Increase in tourism dollars which will infiltrate throughout the entertainment industry in Toronto,F,45-54,Female,
Strongly Opposed,Net benefit to Toronto is negative. Any revenues coming in will be more than offset by harmful social effects.,,,F,35-44,Male,M6H
Strongly in Favour,more jobs,more money for the city budget,adding new attraction in the city,F,,,
Strongly Opposed,I do not like the proposed areas for building the casino,"I think it will not improve the area of the city it is built in, most likely icreasing crime and reducing culture in the area",Proposed sites will hurt community ans small business,F,35-44,Male,M5V
Strongly Opposed,"A casino will bring crime into the city - drugs, prostitution",A casino will bring more traffic congestion.,"A casino is sleezy - preying on the poor, the elderly and deseperate",T,,,
Strongly Opposed,social issues - gambling addictions,no strong business case that a casino will benefit Toronto,potential for increased criminal activity,T,55-64,,
Strongly Opposed,traffic and infrastructure- what will happen to the already overused and crumbling Gardiner Expressway?,changes the neighbourhood,not in harmony with the surroundings,T,45-54,Female,m6r
Strongly in Favour,There will be a casino either in or arround Toronto.  Be smart and and negotiate jobs (social services) and rent.,Jobs/income,World class cities have casinos. Great for conventions and tourism,F,65 or older,Male,m4l
Strongly in Favour,Job creation,More entertainment (things to do),more revenue for the city,F,25-34,Female,M5V
Strongly in Favour,more jobs,more tourism,more revenue for City,F,Prefer not to disclose,Male,M1b
Strongly Opposed,Ontario casinos already lose money - every year,Casinos (like Windsor) has not added value to the surrounding businesses,Any government relying on gambling to pay debt only has to look to other markets,F,,,
Strongly Opposed,"Casinos appeal to those who believe in ""money for nothing"". We already have enough such people in our municipal government. Do we need more?",Casinos attract criminals and penalize the patrons. (They are an exercise in applied probability theory; the house always wins.),,T,45-54,Male,M5V
Strongly Opposed,"Increase in traffic, crime and pawn shops, desperate individuals",Most neighborhoods do not have infrastructure to support such an influx of people,Property values will decrease and families will move away,T,45-54,Female,M6k
Strongly Opposed,Impact on outlying casino cities that are hugely dependent on casinos for their economic stability (Orillia !),"Increase in gambling accessibility, particulary for younger adults",traffic impact,T,55-64,Female,L3V
Strongly in Favour,Additional Jobs,Increased revenue for the city,Tourist attraction,F,25-34,Male,M1B
Strongly in Favour,Job creation,increased tourism,city income,F,55-64,Male,M4L
Strongly Opposed,Ontario casinos already lose money - every year,Casinos (like Windsor) has not added value to the surrounding businesses,Any government relying on gambling to pay debt only has to look to other markets,T,55-64,Male,
Strongly Opposed,"It will divert revenue from other entertainment sources, not add revenue","Traffic congestion, already difficult in that area, will become far worse","Day to day casino reality is nothing like the glamorous depiction of brochures; people sit at slot machines for hours on end, wearing depends instead of leaving their machine to go to the washroom; afterwards, they drop their depends in the parking lot. Just ask municipal workers near Casino Rama--this will ahppen in TO!",F,55-64,Female,M4E
Strongly Opposed,Gambling issues,Traffic,Develop other areas i,F,,,
Strongly Opposed,Increased traffic in a city that is already dealing with traffic issues especially in light of the Gardiner Expressway issues we face,Increased crime and social illnesses that are often attached to the concept of gambling,Casinos do not bring additional revenue and recent reports show that Casino revenues are dropping as a whole,T,25-34,Male,M5V
Somewhat in Favour,Freedom of choice,Revenue source,Jobs,F,35-44,Female,m5t
Strongly Opposed,I don't believe in gambling. I don't want my family near that type of activity. I don't want them to believe it's healthy activity.,I don't want to benefit from someone else's addiction.,I don't want our city to change to become known as a gambling city. It isn't what we're known for.,F,35-44,Male,m4r
Strongly in Favour,Job Creation,Additional Revenue,,F,45-54,Male,M4Y
Strongly Opposed,A dangerous activity masquerading as entertainment.,Contributes nothing to the cultural life of this city,Sucks money from those least able to part with it,T,,,
Somewhat Opposed,Increased costs to the taxpayer due to crime related issues,Increased traffic,,T,35-44,Prefer not to disclose,M2K
Strongly in Favour,Good revenue for Toronto,Closer distance to go to casino,Will add to variety of tourism Toronto has to offer.,F,45-54,Male,L1k
Strongly Opposed,The inherent social problems that come with a casino.,I oppose making money of other people's misery,"Toronto should be building for a positive, progressive future.",T,55-64,Male,M4G
Strongly in Favour,jobs,revenue,"increased tourism, showcase city with a first class, world class casino",F,45-54,Female,M4L
Strongly Opposed,increase in crime,increase in drug trafficking and use,congested downtown core,T,35-44,Female,M4E
Strongly in Favour,bring money into the city,,,F,,,
Strongly Opposed,Governments should not act as PIMPS!,"In Ecomic situations like the one present, of deep crisis , this only make worse for the people that will be attracted by this .",,T,55-64,Male,
Strongly Opposed,Gambling is not a business the city should encourage.,The city will NOT benefit from having gambline -- revue estimates are baseless,"The city should be for people to live in and casinos are not a good use of property or resources, like policing and EMS services",T,45-54,Female,M8v
Strongly Opposed,Putting a casino downtown will usurp the feel of the area.  We need a healthy vibrant area for all people and not just gamblers.,,,F,45-54,Female,
Strongly in Favour,"Economics...toronto residents gamble now, but outside the city...why not keep the money here.",Monies earned by the city can be used to help repair infastructure that no one has the cash to pay for,entertainment...now have to travel hours out of the city to play..cheaper to go to Vegas,F,45-54,Male,M8W
Strongly Opposed,gambling is a tax on the poor,the cost of social problems resulting from gambling,,T,65 or older,Female,M2K
Strongly in Favour,The revenues directly and indirectly generated with assist with the City's financial issues.,A Casino complex will make Toronto more attractive for tourism and will generate off spin attractions with more jobs and revenues,Negative social impacts of a casino will still exist in Toronto if a casino is located in adjacent municipality and there will be no casino revenues to address these impacts.,F,55-64,Male,M1T
Strongly Opposed,Not in keeping with a downtown Toronto living envirnment,Will add to traffic and noise levls,Gambling is not a solution,T,45-54,Male,M5V
Strongly Opposed,A casino is not a high-end establishment. It will cheapen Toronto's appeal---what other major cities have casinos? Paris?,Will attract undesireable visitors that could potentially cause safety concerns for those living in T.O,Gambling is not a viable source of revenue for the city. The business owners will look out for their own interests.,T,Prefer not to disclose,Prefer not to disclose,m4w
Strongly Opposed,All the revenue is based on people's losses - it's a negative for our community,"For all the social problems, the losses do not provide much money to city.",Part of our city will be lost to 'The Casino' and rendered useless for those who don't gamble.,T,55-64,Male,M4K
Strongly in Favour,Support race track through revenue sharing,,,F,45-54,Female,N3S
Strongly Opposed,"To o many social problems...health, financial. These ills have been well documented",,,T,65 or older,Male,M8W
Strongly Opposed,Casinos thrive on individuals addicted to gambling. It's the wrong way to fund a city.,There are better ways to attract tourist money. Our city planning is already flawed with the palisades of investment condos blocking the lake from the City centre.,I am a harbour resident and we already have problems with traffic from non-residents. We don't need the input of Casino visitors filling our streets and parking lots.,T,65 or older,Male,M5V
Strongly Opposed,Breeds laziness,Robs the poor and addicted to fill the riches's wallet,Toronto DOES NOT need to become another Las Vegas,T,15-24,Female,M4X
Strongly Opposed,burden on existing poor transportation instructure,possibility of noise pollution & related gang fights,cost is higher than monetary returns to city overall,F,35-44,Female,M1T
Strongly Opposed,I am opposed to the probablilty that a new casino will be built on Toronto's lakeshore - a resource that should be free and open to the public for recreation,I am opposed to the probable increase in problem gambling in Toronto communities,I am opposed to the transfer of wealth from middle and working class families to international corporate firms with no stake in Toronto communities.,T,25-34,Male,
Strongly Opposed,"Harmful to ""other"" gambling destinations in the region",Do not want to see valuable waterfront or parkland used for this purpose,It will benefit few - probably foreign investors.,T,55-64,Female,M6h
Strongly Opposed,"Gambling, crime, and corruption go together [weblink]",Casinos lower residential property values nearby [weblink],,F,25-34,Female,M3H
Strongly Opposed,"The social/emotional problems of problem gambling are worrisome. These will be expensive in much more than a monetary way. As well, Toronto police already have enough challenges policing the Entertainment District. A casino would necessitate additional police coverage & expense.","The destruction of communities/neighbourhoods, increased traffic congestion, loss of MORE lakefront (if this is the site chosen).",I am sceptical of the stated monetary benefits to the city. The problems generated by a casino would likely be more costly than any moneys generated.,T,65 or older,Female,M4C
Strongly in Favour,Increased tourism,Increased tax revenue,New recreational activiy for citizens,F,65 or older,Male,M6R
Strongly Opposed,Social impact,Economic impact,Increase traffic congestion,T,35-44,Female,M5J
Strongly in Favour,It will create jobs,It will infuse more cash into our economy,It will increase tourism,F,25-34,Female,M4C
Neutral or Mixed Feelings,It depends on the financial implications to Toronto. Reports have been unclear as to whether or not it will have an impact.,I support a world class facility that includes a casino.,,F,35-44,Female,M2N
Strongly in Favour,attract Tourism to Toronto,Attract Conferences to Toronto,Spin off employment from tourism,F,45-54,Male,M4E
Strongly in Favour,"A large source of annual revenue for the city. (Could be used for major city projects; Transit, Waterfront revitilization, Social programs etc)",Tourist attraction which leads to an increase in business for many related business,A large employment opportunity. (Both directly and indirectly,F,25-34,Male,M1L
Strongly in Favour,job creation,infuse money into Toronto,enhanced tourism,F,55-64,Female,M2L
Strongly in Favour,Employment,Taxs to help the city,Fun night,F,15-24,Female,L6W
Strongly in Favour,Casino revenues towards city infrastructure,,,T,55-64,Male,m6k
Strongly Opposed,"I do not frequent casinos.,",why are they building a new casino when they have taken the slots out of the racetracks.,You are putting many people out of work by closing racetrack slots.,F,55-64,Female,P0A
Strongly in Favour,Generate Revenue,Creates Jobs,Good for tourism,F,25-34,Male,M6K
Strongly Opposed,Toronto public health (and similar agencies around the world) suggest this will increase problem gambling-  largely a mens health issue with untold spin off effects for individuals and communities,A casino is not a real economic driver - (post construction and the few jobs it creates) it sucks money and redistributes it. and no its not like a tax because it is voluntary and predatory,there is a good chance that the casino will negatively affect populations in its immediate vicinity - noise- drugs/alcohol - light pollution - traffic etc.,T,25-34,Male,m4m
Strongly Opposed,This is a money grab,Don't you receive enough taxes from condo property tax to line the city's pockets?,,T,25-34,Male,m5j
Strongly Opposed,people get addicted to gambling,can atract criminal types to our city,if downtown we already have enough congestion,T,65 or older,Female,M9A
Strongly in Favour,A new casino will sustain existing jobs at Woodbine and generate new jobs to the city,A new casino will be good for the economy,A new casino will provide revenue to the city,F,55-64,Male,M9R
Strongly Opposed,Impact on businesses in areas considered,No proof of financial viability,Out of Country influences,T,45-54,Male,M5C
Somewhat Opposed,"The costs that will be paid directly by Toronto taxpayers - police, infrastructure, etc - far outweigh the potential economic benefits gained directly for Toronto taxpayers",Casinos have a long and proven history of links to powerful crime syndicates which creates a high level of risk that would ned to be carefully managed. There is no compelling reason to assume that risk.,Public investments in policing and risk management related to the casinos would mean lost oppoortunities to fund other public needs.,F,45-54,Male,M6S
Strongly Opposed,Gambling as an addiction is a mental health issue we should not feed. I think it's a sad way to earn money for the city - off of people's losses.,If we have money to invest there are other forms of entertainment that are more family friendly to draw tourists and money,"Gambling addiction is one disorder that has  links to alcoholism, drug addiction, smoking and sexual promiscuity - increases in misery, poverty, domestic abuse, violence and crime come along with all that.",T,,,
Neutral or Mixed Feelings,"Alcohol 24/7 within the city, after party people can go to the casino. Many MORE Police to control",For players much closer. Driving all chaos.,Putting on youth people a temptation to start gaming because is near,T,35-44,Female,M2L
Strongly in Favour,Improve economy,Attract tourism,Increase employment and City Image,F,25-34,Male,L3P
Strongly Opposed,will bring lots of problems that we do not need in toronto.,Crime.,Another way of fleecing the poor in toronto.,T,45-54,Male,m1b
Strongly in Favour,An attraction within city limits,"Keep revenus in the city rather than people heading to Brantford, Orillia or Niagara",Somewhere to go that's not a bar and have some fun,F,25-34,Male,M3A
Strongly Opposed,"aimed at the poorest among us,",hypocritical hidden revenue for the government,,F,Prefer not to disclose,Prefer not to disclose,M5J
Strongly Opposed,This is neighbourhood has many families close by -  Bathurst and Queen's Quay - we do not need a gambling establishment close by bringing more traffic and people who will not contribute to the health and well being of this neighbourhood,"The island airport brings too many vehicles into this neighbourhood - taxis, shuttle buses, private vehicles, trucks for the tunnel construction, trucks for the waterfront toronto construction",,T,,Female,m5v
Neutral or Mixed Feelings,Not sure if it's a revenue benefits outways the cost of,,,F,,,
Strongly Opposed,We have enough casinos in Ontario,"The proponents are interested in personal gains, less interested in the public good",,T,65 or older,Male,M3B
Strongly Opposed,It will destroy the neighbourhood,It will ruin neanby small businesses,It is not neededy,T,65 or older,Male,M5S
Strongly Opposed,Gambling is a major social cost,"Casinos are shabby, uncultured places and do nothing to promote social growth",,T,45-54,Male,M4P
Strongly Opposed,I'm against gambling,There are better ways to generate revenue for the city like,,T,25-34,Female,m5p
Strongly in Favour,I would appreciate being able to visit a casino with the lengthy drive and overnight stay,,,F,45-54,Male,M4J
Somewhat in Favour,Potential Revenue for the city,Raise Toronto's image on the world stage,,F,35-44,Male,M6S
Strongly Opposed,No need for a casino - there are many casinos nearby,Lost revenue to existing local businesses could turn downtown toronto into a wasteland,,T,35-44,Male,m4k
Strongly Opposed,Very little to gain financially for the city.,Gambling is a tax on losers and dreams.,"The social problems created by gambling, and the resultant community spirit are very sad.",T,65 or older,Male,M6G
Strongly Opposed,"I want Toronto to be known for it's amazing culture, diverse people, and waterfront, not as a potentially trashy gambling destination.",,,T,35-44,Female,M6S
Strongly Opposed,I live in downtown Toronto and don't want my kid being exposed to the environment a casino creates around it.,The city will not benefit from casino revenues. Only the casino operators will.,It will destroy the lives of many prone to gambling. Keep casinos as far away as possible.,F,55-64,Male,M5V
Strongly Opposed,,,,T,65 or older,Female,
Neutral or Mixed Feelings,It would be great entertainment value but I'm concerned that it aids to the addiction of gamblers.,,,F,55-64,Female,L1V
Strongly in Favour,,,,F,45-54,Male,M5V
Strongly Opposed,Unproductive activity,Gambling addiction a problem,Not a family activity,T,55-64,Male,M8V
Strongly Opposed,casinos drain resources from productive economic initiatives,casinos have a negative impact on communities' social life,"gambling addiction is damaging to individuals, families and communities",T,45-54,Female,M6P
Strongly in Favour,Job Creation,Development of Toronto in to a world class city,New Money being brought into the City,F,25-34,Male,M9V
Strongly Opposed,I live and work in toronto (live in parkdale and work at spadina and richmond)  I do not want a casino where I live and work.,,,T,Prefer not to disclose,Prefer not to disclose,M6K
Strongly Opposed,discretionary spending is sucked from other businesses into the casino,the jobs created will not be greater than the jobs lost or downgraded,"services for other troubled people are already under funded , why expect that problem gamblers be treated better",T,45-54,Male,M3A
Strongly in Favour,Revenue Generation,,,F,35-44,Male,M9B
Somewhat in Favour,Concerned about location of casino,Concerned about how revenue will be allocated,,F,25-34,,
Strongly Opposed,Every independent study I have ever read. Would you like me to point some out for you?,Casinos bring down the personality of the city to tinsel and the false promise of easy money.,I have never once heard of any public desire to have a casino in Toronto. The push comes from lobbyists and politicians.,T,35-44,Female,M5A
Strongly Opposed,Casino's attract an unhealthy clientel which doesn't spend money outside of the venue and is prone to addiction,World class cities( i.e. London) might have gambling clubs but don'e have casinos,"Casinos are for losers, not winners",T,65 or older,Female,M5R
Strongly in Favour,Economic activity for the city.,,,F,25-34,Male,M5V
Strongly Opposed,Increased crime,Addiction issues,Cheapens image of Toromto,T,35-44,Male,M5J
Strongly Opposed,There are already to many cars in,,,F,,,
Strongly Opposed,Already several casinos in Ontario ... i.e. Niagara Falls (not that far from Toronto),Would promote gambling in a large community where there are so many other activities to explore,Would be taking away business from other casino 'hubs' like Niagara Falls,T,15-24,Prefer not to disclose,L2N
Strongly Opposed,Gambling is addictive and people cannot really afford to,Bad identity for the city.,There are already enough casinos,T,55-64,Male,M4R
Strongly Opposed,"impact on city's safety and congestion, especially in the core, where MANY people live",don't really believe in the amount of money it will bring to Toronto,it's not part of a broader Toronto vision - we need a strategy for what we want Toronto to be,T,35-44,Female,m6j
Strongly in Favour,money,money,money,F,,,
Somewhat Opposed,,,,T,45-54,Female,l4j
Strongly in Favour,Good for local economy,Attract new business,Help turn downtown Toronto into world class destination,F,25-34,Male,M4Y
Strongly Opposed,"It is yet another form of taxes, which targets the most vunerable and destitute in society, mainly those with gabling or addictive tendencies",It will cause more traffic gridlock in the city.,"It's just idiotic.  Start taking care of the citizen instead of facilitating private, corporate and profit driven scheams.",T,,,
Somewhat in Favour,Great Tourist Attraction,Will add to economic activity such as hotel and restaurant demand,Good for the tax base,F,45-54,Male,m5v
Strongly Opposed,Questionable source of income for a city (uncertain income ),Location is a problem as there is no area in the city where land that is available should be used  esp. For all the car park,Additional motor traffic to any area will add to congestion,T,55-64,Female,M4S
Strongly Opposed,No net economic gain,Social impact on gamblers,Land too valuable in Toronto,T,35-44,Male,M5R
Strongly Opposed,"A casino is simply not the most productive use of Toronto's limited real estate, capital or people.","Casinos don't create value, they merely redistribute it - inefficiently and without regard for the impact it has on the most vulnerable members of the public, e.g. gambling addicts, poor, elderly, and uneducated",Casinos crowd out smaller entrepreneurial ventures and will create a cultural dead zone wherever one is placed.,T,25-34,Male,M5V
Strongly in Favour,"If properly designed, can give Toronto a world class venue to attract world class events.  The Casino should be a landmark design.",Viable long term source of funding for TTC subway expansion,Beautification of city owned land,F,35-44,Male,M4S
Strongly in Favour,"This would be good for the city to bring in the money we need to fund transit, etc.",Many people are going out of the city to gamble.  Let's keep the money here in Toronto.,This is an activity I enjoy and would like a casino in the city to visit periodically.,F,45-54,Female,M4G
Strongly Opposed,Does not make the city more livable,Not aligned to family values,,T,35-44,Male,
Strongly Opposed,There are already to many cars in Toronto,It is so crazy to put a casino there when there is already a better place for it.,This other place has mare space already people going there.,F,,Female,m5t
Strongly Opposed,Inappropriate location for a casino,Gambling is socially corrosive,Parasitic and destructive form of economic development,T,45-54,Male,M6G
Strongly in Favour,,,,F,45-54,Female,L4J
Strongly Opposed,Increased crime in the city,"Increased addiction issues, likely without infrastructure to deal with them",Altering the feel and image of Toronto,T,,Male,M2N
Strongly Opposed,the city will not receive enough revenue to make it worth the problems a casino will bring. the province and private interests will see most of the revenue.,"there are several casinos close to Toronto already (Niagara, Rama, etc). why not support those economies?","casinos in main cities such as Montreal aren't a big draw any more, and they're kind of crappy now.",T,35-44,Male,M6K
Strongly in Favour,will bring more job positions to the city,will bring more people to the city - real estate prices will not fall,,F,25-34,Male,M4K
Strongly Opposed,An increase in gambling addiction will hamper our local health care system.,"It will negatively affect local businesses in the area, as casinos are build to spend much money on the premises.",Some studies show that casinos increase crime.,T,25-34,Male,M6J
Strongly in Favour,Increase in jobs,Why send players to other sites,Promotes Toronto tourism,F,55-64,Female,M4B
Neutral or Mixed Feelings,We potentailly have the best location east of Highway427 called WoodbineRace Track where with massive acrege and this is being overlooked as a site.,,,F,45-54,Male,M6N
Strongly in Favour,Most people already in Niagara or Rama are from Toronto anyhow,Tourists will come,More money for healthcare,F,25-34,Female,M4W
Strongly in Favour,,,,F,25-34,Male,m6e
Strongly Opposed,traffic concerns,organized crime,money could be spent elsewhere,T,45-54,Female,m1g
Strongly Opposed,Demographics,Crime,Congestion,T,25-34,Male,
Strongly Opposed,PEOPLE THAT LOSE EVERYTHING TO GAMBLING .TOO MUCH OF THIS HAPPENS REGARDLESS OF ALL THE PROGRAM MONEY OUT THERE TO HELP THEM,,,T,55-64,Male,M4E
Strongly in Favour,$400 M in TTC revenue annually,Eaton Center South with great shops and retail concourse,MTCC is very tired and obsolete for a city like Toronto,F,25-34,Male,M2K
Somewhat in Favour,"If a casino is not located within Toronto, I belive it will be located just outside the city and as such Toronto will get none of the financial benefits but the same social burdens that come with a casino","If done properly, a casino could complement existing tourist draws and attract people to Toronto from outside the GTA - much like Niagara Falls",A poorly executed casino could have a negative impact on the city,F,25-34,Male,M6K
Strongly Opposed,gambling is a tax on the poor,higher crime rates near casinos,"casinos create 'dead zones' around them, wherever they are located.",T,45-54,Male,M5S
Strongly Opposed,Casinos hurts the most vulnerable who can ill afford to spend the little money they have on odds against gambles,Mosst of the revenue flows to the operators,,T,45-54,Male,M4J
Strongly in Favour,new revenues,world class image,,F,45-54,Male,M2M
Strongly Opposed,"Studies have shown that the net benefit to the community is overwhelmingly negative. Addiction, family violence,additional policing cost vastly exceed the additional revenue that casinos generate.",,,F,45-54,Male,M8X
Strongly in Favour,Bring in high revenue to the city,Attract more tourists and better hotels,Bring in higher end shops,F,25-34,Female,M6H
Strongly Opposed,there is no benefits long term a community gains,,,F,,,
Strongly Opposed,Casinos are dead zones in a city.,Casinos are a dime a dozen and a very poor way to create revenue.  let's build a cultural capital instead.,Gambling is a social and health problem.  It's worng to work to build a healthy city and simultaneously undermine people.,T,65 or older,Female,M5S
Strongly Opposed,Unwanted tourism,It opposes the city's heritage,,T,25-34,Male,m5v
Strongly Opposed,There is no infrastructure to support a casino downtown,I don't believe that it will generate significant additional income for Ontario,"It could destroy the neighbourhood as is the case with other casinos in cities, exp. Montreal",T,25-34,Female,m4l
Strongly Opposed,Gambling is proven to be detrimental to personal health,It will take away from business downtown,It will add tremendous congestion,T,25-34,Male,M5V
Strongly Opposed,it promotes behaviour destructive of families and a decent work ethic,is destructive of  neighbourhoods,"is an immoral means of tax revenue, created , as it is, from the avails of the above.",T,45-54,Male,M6P
Strongly Opposed,Social problems associated with casinos,Traffic and parking issues,It will downgrade the local surrounding area - businesses will suffer.,T,45-54,Female,M4L
Strongly Opposed,,,,T,55-64,Male,m8w
Strongly in Favour,No reason not to have one here when Montreal and Niagara have them,Taxable,Does not bother me,F,25-34,Male,M5T
Strongly Opposed,A casino and all that this enterprise embraces does not represent the best qualities to promote in our city,,,T,45-54,Female,M2M
Strongly Opposed,"there is no protection for patrons. Security is only there to protect casino, not gameplayers. From my past experience January, 6, 2013.","Even cameras are all over, still response from security is very negligent to allow such thing happened. And they dumping situation in metropolice hands.","when they can react responsibly and do the investigation, helping the victim by making citizen arrest and waiting for metro.",T,45-54,Female,m5e
Strongly in Favour,,,,F,45-54,Male,m2r
Somewhat Opposed,"Ontario gov't report of several ytears ago showed that wherever a casino goes in, problem gambling goes up more .Get that report","Why go to a local restaurant? Gambler is legally parked, gets free meals if he's a regular.  Ask Windsor.",Better you should expand Woodbine,T,65 or older,Male,M9B
Strongly in Favour,Income for city,Attraction to increase tourism,Additional jobs and development as result,F,35-44,Male,m5r
Somewhat Opposed,"gambling is addictive, casinos is a ""sin tax"", promote drinking, drugs and prostitution",does not fit with my image of the city,,F,,,
Strongly Opposed,Moves money out of the local economy and to the casino operator,Local bars and restaurants will lose money,"Increased crime, social costs, parking nightmares.  Downside is much greater than upside for the city.",T,55-64,Male,M5T
Strongly Opposed,bad influence for young adults Problem gambling and health concerns,bring in related crimes,unethical,T,Prefer not to disclose,Prefer not to disclose,M2M
Strongly in Favour,Entertainment,Tax Income,City Status,F,25-34,Male,M6K
Strongly Opposed,Likelihood of acquiring addictive behaviour.,"Costs associated with #1, whether behaviour is physical or emotional.",Inherent traffic problems.,T,Prefer not to disclose,Prefer not to disclose,
